hour,central_pressure_hpa,pressure_deficit_hpa,morans_i,spatial_variance,texture_entropy,gradient_energy,phase_congruency,tracebind_index
0,1013.0840609138236,0.16593908617642228,0.8589281154644958,12.238919427462958,4.2266041246135355,106.44374413110337,0.33792525948222246,0.20452036247652414
1,1013.0621844671184,0.18781553288158648,0.8495562854195763,12.24081245169345,4.1554508556944265,103.35123810571305,0.3565237824903355,0.19567502742268045
2,1013.0374616770575,0.21253832294246422,0.8615139490677196,12.1564401201038,4.22844387725086,104.88339725983174,0.3608117174434968,0.18914256705186144
3,1013.009532968635,0.24046703136502856,0.8748294784195282,12.080917723316475,4.241329159178077,103.97980345267848,0.3920199692748406,0.21236521365265007
4,1012.9779963713181,0.27200362868188677,0.848675826472763,11.631616670530512,4.180405294302842,103.75021153318836,0.3740915650993857,0.2026148275319479
5,1012.9424033690548,0.30759663094522693,0.8489006477875292,12.0555115862512,4.235103124609102,108.91060646897347,0.3442062693642583,0.19669937728062192
6,1012.90225458695,0.3477454130500064,0.8763478915902975,12.11605948016771,4.233459828099112,107.32933381268535,0.33852104587248205,0.20844200270971383
7,1012.8569953869066,0.3930046130933533,0.8644427440124293,11.965404143124017,4.176879952649618,103.81893883726002,0.36716644111796914,0.20607437394500888
8,1012.8060114738017,0.4439885261982681,0.8461874306808208,12.259237494651245,4.255779083250246,109.58181976675709,0.33186683045676313,0.24263507680390806
9,1012.7486246497181,0.5013753502819327,0.8616955195810531,12.527602702893672,4.270210995656307,107.72626590405626,0.39596089715311944,0.23686539421509553
10,1012.6840888970175,0.5659111029824544,0.8469653068874895,13.168067018864672,4.301068939502802,109.74578578806056,0.38411073439333043,0.23073114586961901
11,1012.6115870219703,0.6384129780296917,0.8473247791905547,12.537063554693079,4.304858563097069,109.39179875336963,0.35247295525229755,0.25386634876912795
12,1012.5302281490748,0.7197718509252127,0.8583720213912471,12.630640309813518,4.189092654293325,104.61658685646556,0.3290881418681385,0.2431583796254031
13,1012.4390464211194,0.8109535788805715,0.8265161526379747,12.565769244690207,4.217499341166048,105.9361220771229,0.39209911002681014,0.23897240659786917
14,1012.337001329249,0.9129986707509943,0.8298586501021913,11.904375486074713,4.297217849401964,110.94653955367447,0.3645958758798549,0.2757372791118239
15,1012.2229801669824,1.0270198330175617,0.847863022667085,12.746973552301453,4.304948855526031,110.96484608048273,0.39372087124478006,0.27327653672042956
16,1012.0958031662425,1.15419683375751,0.8417213752293182,12.877757801172613,4.313582727591378,109.3248563655453,0.33938620807586767,0.2650349454624589
17,1011.9542319233375,1.2957680766625117,0.8622995279910534,13.94655678139095,4.489876219460501,110.45968117546401,0.3618498657657019,0.28731301289020494
18,1011.7969817466534,1.4530182533466132,0.8446969085165741,13.004615317219688,4.336094385370538,115.26413828367004,0.37677752248077645,0.2927574991319778
19,1011.6227385405075,1.6272614594925017,0.8379277405814561,13.336459377446769,4.375601999486792,109.56912238393394,0.3807403423808242,0.30198299370255965
20,1011.4301807630912,1.8198192369087565,0.8819597804457918,13.351562532500287,4.37882330239899,114.51869809266482,0.3742397506198724,0.34670967333230895
21,1011.2180068406142,2.03199315938582,0.8575230376122632,13.064311595078552,4.377077893049178,112.99131434858153,0.39946879815487235,0.3772607181091782
22,1010.9849681646549,2.2650318353450984,0.8629332152725306,14.173419493989979,4.343272063280448,114.17811846981661,0.3697767071364889,0.3580291130046672
23,1010.7299074286601,2.5200925713398874,0.8416396246430979,14.22120390409643,4.41270447639367,120.18848659509825,0.3927587912511632,0.40366709626277214
24,1010.4518015639887,2.798198436011262,0.8560193656221711,14.462065375215333,4.353072592569566,120.81278124677982,0.4028592181993326,0.4127006494727569
25,1010.1498079212845,3.1001920787155086,0.8671103653540014,14.02960134164303,4.398102918332351,122.5473656288393,0.4159638113875022,0.4395559301136182
26,1009.8233116350813,3.426688364918732,0.849533257825273,15.22596728894485,4.405201202667194,126.25758490813661,0.4255035508448707,0.46422063870862906
27,1009.471971360117,3.7780286398830185,0.8738780226558207,14.400555907021225,4.454393885881414,123.97861265490698,0.3947425135057414,0.48761129667292236
28,1009.0957598572711,4.154240142728895,0.8607720307953597,15.518402266034522,4.588163109586654,128.75204847750072,0.3928714596260347,0.525582259535338
29,1008.6949953422117,4.555004657788345,0.867041095448845,16.50882025101081,4.402472303877408,127.99586296292948,0.45575886164412194,0.5420494126939875
30,1008.2703592145238,4.979640785476249,0.8641219224666573,15.612387968803285,4.5547861019863465,133.19957400603278,0.44380756407307825,0.5819161161098626
31,1007.8228958823054,5.4271041176946255,0.9027581622081223,16.185011144541583,4.465643132108671,134.86557271725775,0.4294154364684053,0.6039957079678159
32,1007.3539909844012,5.896009015598793,0.8766916837659304,16.88080613069497,4.54957140106813,139.1909500145119,0.482856389521933,0.6266242631353843
33,1006.8653254335462,6.384674566453782,0.8630393858031611,17.094479237287317,4.655481614664172,144.73484858082853,0.4617693674644076,0.6421977706330156
34,1006.3588043250196,6.891195674980395,0.8933407255687866,17.154518042416473,4.632964704926857,143.84735582563272,0.49078360033783747,0.6682668201426832
35,1005.836461753597,7.41353824640305,0.864868568033618,18.303037625933435,4.605285533994988,158.33471197731694,0.47635036962820215,0.7047169762863725
36,1005.3003447509477,7.9496552490522845,0.8885673233024918,18.370810552876172,4.653373953748396,152.00595484195188,0.5240173018410789,0.7204154634895633
37,1004.7523816380169,8.497618361983086,0.8583590150216178,19.521438173080817,4.753455728886769,155.97579164436095,0.5256509420703136,0.7196927465882859
38,1004.1942418205351,9.055758179464874,0.8702084432552784,19.513053290362112,4.713481668414143,169.12086449356497,0.49318736701893595,0.7479270694925559
39,1003.627195231905,9.622804768094966,0.8955086668568709,21.058205041279404,4.791347088039064,172.77930551211426,0.5250462518195507,0.7694195684532532
40,1003.0519801403169,10.198019859683086,0.9060935989686834,20.686698683065504,4.813139452783798,177.18441935968255,0.5257462351582165,0.7524852373121672
41,1002.4686879095591,10.781312090440906,0.9000726054699555,21.432944114245345,4.808247209728255,182.190723199181,0.5471673059444953,0.7897107061123456
42,1001.8766726829299,11.373327317070107,0.8982652757641764,22.444583902892234,4.9774465004941835,184.88965985872107,0.5071477877476507,0.7845887247080621
43,1001.2744930785045,11.97550692149548,0.8979813633140546,22.175653072599673,4.930661866300098,186.6341579106816,0.5464856738574699,0.8075393670093096
44,1000.6598920923333,12.59010790766672,0.8828055698757363,23.295251935475036,4.825574876309519,194.73830027647722,0.5598972364538988,0.7986109301878581
45,1000.0298206964545,13.220179303545478,0.8966465885552451,24.24724466570195,4.963043790070318,196.61857749728978,0.5091501755652105,0.7922343956895781
46,999.3805101522032,13.869489847796785,0.9029591844468484,23.58222329133258,4.94643758429396,206.70179085001226,0.5258815241815897,0.7996426731799836
47,998.7075977109744,14.542402289025631,0.9281027665134691,24.777984044479126,5.046786103232817,206.8335001729432,0.5136089754932088,0.8242913022282345
48,998.0063098065424,15.24369019345761,0.9197199049661064,25.263007533039456,4.987943781825387,208.25929567418882,0.553482747586968,0.8307272928376206
49,997.271705519325,15.978294480675004,0.8903731748863756,25.901198912328237,5.043962999014557,213.5540761466699,0.5773390456079969,0.8200952505103654
50,996.4989803484525,16.751019651547495,0.923858707653683,25.496617216793208,5.095779983890374,219.38026831764145,0.5968060809924631,0.8414622321847044
51,995.6838255078085,17.56617449219152,0.9153187160562556,25.839179354079473,5.133343911039154,218.94516745417948,0.571681165102866,0.8162953374569786
52,994.8228306471807,18.427169352819305,0.9129520278584111,26.925117197732344,5.0482713263507675,220.75701553754914,0.605899662425013,0.8375160059408727
53,993.9139082005872,19.33609179941277,0.9342011548921247,27.157497537155137,5.108518922838947,226.94780603102936,0.5485606046109247,0.8255441555806071
54,992.9567064392368,20.29329356076323,0.942317471187341,27.435347575567942,5.117217208929488,229.16897391578405,0.5446575899611418,0.8337580438114217
55,991.9529677742405,21.297032225759494,0.9425527000909988,27.74522296023786,5.122825207887428,228.525616983364,0.5799245010167567,0.8434272713459116
56,990.906781919464,22.343218080535962,0.9176301260075186,27.582337514970487,5.257149497789726,230.42754190501415,0.5907946361938788,0.8336196660422992
57,989.8246836471408,23.425316352859227,0.9271192619815961,28.17247078784268,5.201425368070287,234.4694071676086,0.5843244424946162,0.84025222918942
58,988.715554914168,24.534445085831976,0.9381707899844459,28.400938621135502,5.129405942447369,229.99170212364749,0.5453003255492463,0.8577251606097882
59,987.5903120274173,25.659687972582674,0.9491866503984819,28.182476622663092,5.248653452424975,231.37488815758192,0.5863611309153525,0.8393910156067906
60,986.4613880976635,26.78861190233647,0.9286272799422718,29.380862564075517,5.318277466574556,234.88158796704678,0.5633886780109982,0.856905215968128
61,985.3420538383143,27.907946161685686,0.9342042679137429,28.973692727851393,5.2723637050471375,237.61331272414918,0.6040617291405683,0.8337979282287761
62,984.2456481486041,29.00435185139588,0.9214846831876978,28.441918897986806,5.15256541566077,240.29586533118245,0.599060470324761,0.8541168067889671
63,983.1848063957842,30.06519360421578,0.9211472185192286,29.301361507056694,5.211397703194883,245.11471142544013,0.5738743465856138,0.86540098608284
64,982.1707742421249,31.079225757875065,0.9522128384239443,28.756461614712872,5.305369434768152,243.60379673678725,0.5832333223538169,0.8187330609466601
65,981.2128782588318,32.03712174116822,0.9612313043270767,29.557254739015843,5.212448066223738,240.6116649936624,0.5730713870847145,0.8390762706091759
66,980.3181960829003,32.93180391709973,0.9406025785269028,29.79155425940863,5.275274594063275,241.60243133659753,0.5936633297188718,0.8557724450395516
67,979.4914360087374,33.75856399126258,0.957467175466256,29.07617946166264,5.296559933333572,238.59439150595534,0.614606293919502,0.846587686900605
68,978.7350063325825,34.51499366741746,0.9485106983413798,29.857730298173312,5.2157637611882635,242.41713462933382,0.5763088811453354,0.8536275899094529
69,978.0492339708361,35.2007660291639,0.9340258680752234,29.697879941214257,5.262995264655761,241.80159695714252,0.6065650235495454,0.8420527114514103
70,977.4326820276716,35.8173179723284,0.9496885164927393,29.915231405617334,5.107387240819736,244.22874658905909,0.5862869349192547,0.8504468941733144
71,976.8825161869212,36.36748381307882,0.9678551921891477,30.39273483289372,5.22136374862146,240.45397411657873,0.5813958076971049,0.8476305307348084
72,976.3948771900118,36.85512280998819,0.944720022095594,29.5780929742812,5.262773426317444,245.38449259710342,0.5954322736805403,0.8635889572705083
73,975.9652277701534,37.28477222984657,0.9691589293431014,29.41219048344434,5.215547550710122,249.1204637748367,0.5771507821981845,0.8526937440056143
74,975.5886542113822,37.66134578861784,0.9067872511589774,29.39104894137137,5.361835734238282,243.53955986859333,0.5870327035760912,0.8537470600732411
75,975.260113119549,37.98988688045097,0.9587714186383647,29.44990617065648,5.210755136471942,245.4689918979464,0.5743692294171518,0.8447999819775668
76,974.9746219920809,38.27537800791913,0.9480761595537275,29.771394348883682,5.262098338258126,246.6025157884958,0.6378167354442668,0.8439307477263269
